Syntax version=4
Wed Apr 04 09:15:05 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	time(ms)	(0x2000109c,6)	(0x200010be,2)
D:	0.09	0.000000	0
D:	0.80	0.000000	0
D:	1.46	0.000000	0
D:	2.14	0.000000	0
D:	2.83	0.000000	0
D:	3.48	0.000000	0
D:	4.12	0.000000	0
D:	4.76	0.000000	0
D:	5.38	0.000000	0
D:	6.01	0.000000	0
D:	6.89	0.000000	0
D:	7.58	0.000000	0
D:	8.27	0.000000	0
D:	8.95	0.000000	0
D:	9.65	0.000000	0
D:	10.30	0.000000	0
D:	10.94	0.000000	0
D:	11.58	0.000000	0
D:	12.22	0.000000	0
D:	12.84	0.000000	0
D:	13.45	0.000000	0
D:	14.05	0.000000	0
D:	14.69	0.000000	0
D:	15.29	0.000000	0
D:	15.88	0.000000	0
D:	16.55	0.000000	0
D:	17.19	0.000000	0
D:	17.88	0.000000	0
D:	18.48	0.000000	0
D:	19.09	0.000000	0
D:	19.69	0.000000	0
D:	20.29	0.000000	0
D:	20.89	0.000000	0
D:	21.55	0.000000	0
D:	22.14	0.000000	0
D:	22.76	0.000000	0
D:	23.36	0.000000	0
D:	23.96	0.000000	0
D:	24.56	0.000000	0
D:	25.16	0.000000	0
D:	25.94	0.000000	0
D:	26.55	0.000000	0
D:	27.15	0.000000	0
D:	27.76	0.000000	0
D:	28.36	0.000000	0
D:	28.96	0.000000	0
D:	29.56	0.000000	0
D:	30.17	0.000000	0
D:	30.76	0.000000	0
D:	31.36	0.000000	0
D:	31.96	0.000000	0
D:	32.57	0.000000	0
D:	33.17	0.000000	0
D:	33.85	0.000000	0
D:	34.55	0.000000	0
D:	35.16	0.000000	0
D:	35.76	0.000000	0
D:	36.36	0.000000	0
D:	36.96	0.000000	0
D:	37.56	0.000000	0
D:	38.16	0.000000	0
D:	38.76	0.000000	0
D:	39.36	0.000000	0
D:	39.96	0.000000	0
D:	40.56	0.000000	0
D:	41.47	0.000000	0
D:	42.09	0.000000	0
D:	42.68	0.000000	0
D:	43.28	0.000000	0
D:	43.89	0.000000	0
D:	44.55	0.000000	0
D:	45.14	0.000000	0
D:	45.74	0.000000	0
D:	46.33	0.000000	0
D:	46.94	0.000000	0
D:	47.55	0.000000	0
